Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1550555991248,245.0,0.37844276,0.28636917,-0.8591409,0.0340271,0.01121521,-0.016342163,-0.5962242,-0.10913069,-0.7742878,0.1818945,0.2617994
1550555991289,246.0,0.45167255,0.29198426,-0.78837466,0.043136597,-0.0056152344,0.0051727295,-0.59607166,-0.114977546,-0.77338296,0.18264043,0.2617994
1550555991348,246.0,0.45167255,0.29198426,-0.78837466,0.043136597,-0.0056152344,0.0051727295,-0.59607166,-0.114977546,-0.77338296,0.18264043,0.2617994
1550555991389,248.0,0.45167255,0.29198426,-0.78837466,0.043136597,-0.0056152344,0.0051727295,-0.59607166,-0.114977546,-0.77338296,0.18264043,0.2617994
1550555991448,249.0,0.45167255,0.29198426,-0.78837466,0.043136597,-0.0056152344,0.0051727295,-0.59607166,-0.114977546,-0.77338296,0.18264043,0.2617994
1550555991490,249.0,0.45167255,0.29198426,-0.78837466,0.043136597,-0.0056152344,0.0051727295,-0.59607166,-0.114977546,-0.77338296,0.18264043,0.2617994
1550555991549,250.0,0.19848919,0.050978504,-0.33719325,0.19281006,-0.06542969,-0.028869629,-0.6076668,-0.15008537,-0.7567537,0.1885187,0.2617994
1550555991589,250.0,0.19848919,0.050978504,-0.33719325,0.19281006,-0.06542969,-0.028869629,-0.6076668,-0.15008537,-0.7567537,0.1885187,0.2617994
1550555991648,249.0,0.19848919,0.050978504,-0.33719325,0.19281006,-0.06542969,-0.028869629,-0.6076668,-0.15008537,-0.7567537,0.1885187,0.2617994
1550555991690,249.0,0.19848919,0.050978504,-0.33719325,0.19281006,-0.06542969,-0.028869629,-0.6076668,-0.15008537,-0.7567537,0.1885187,0.2617994
1550555991749,249.0,0.2272234,0.060303964,-0.37875366,0.32717896,-0.029754639,0.014221191,-0.6050018,-0.17331354,-0.74909276,0.20687017,0.2617994
1550555991790,249.0,0.2272234,0.060303964,-0.37875366,0.32717896,-0.029754639,0.014221191,-0.6050018,-0.17331354,-0.74909276,0.20687017,0.2617994
