Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1551589859604,298.0,-0.12450886,-0.45633265,0.16554594,0.16870117,-0.13972473,0.018981934,0.5713759,-0.17717628,0.76738125,0.23079035,0.17453292
1551589859704,299.0,-0.0011577606,-0.26611456,0.08227277,0.038635254,-0.0043182373,0.016525269,0.57041824,-0.17707989,0.7676849,0.23221906,0.17453292
1551589859805,300.0,-0.0011577606,-0.26611456,0.08227277,0.038635254,-0.0043182373,0.016525269,0.57041824,-0.17707989,0.7676849,0.23221906,0.17453292
1551589859905,300.0,-0.0011577606,-0.26611456,0.08227277,-0.048675537,-0.030578613,-0.009460449,0.57041824,-0.17707989,0.7676849,0.23221906,0.17453292
1551589860005,303.0,-0.0011577606,-0.26611456,0.08227277,-0.048675537,-0.030578613,-0.009460449,0.57041824,-0.17707989,0.7676849,0.23221906,0.17453292
1551589860106,304.0,0.0,0.0,-0.0,0.1652832,-0.037246704,-0.08392334,0.5661897,-0.18791251,0.7714353,0.2213723,0.17453292
1551589860206,307.0,0.0,0.0,-0.0,0.1652832,-0.037246704,-0.08392334,0.5661897,-0.18791251,0.7714353,0.2213723,0.17453292
1551589860306,308.0,0.009183884,-0.06295921,-0.079435825,0.21498108,0.03742981,-0.09861755,0.5710428,-0.17208228,0.7718996,0.22015648,0.17453292
1551589860406,308.0,0.009183884,-0.06295921,-0.079435825,0.21498108,0.03742981,-0.09861755,0.5710428,-0.17208228,0.7718996,0.22015648,0.17453292
1551589860506,306.0,-0.0403471,0.24684244,0.34328604,-0.118927,-0.2715454,0.06340027,0.5827535,-0.18453974,0.7592117,0.223475,0.17453292
1551589860609,296.0,-0.0403471,0.24684244,0.34328604,-0.118927,-0.2715454,0.06340027,0.5827535,-0.18453974,0.7592117,0.223475,0.17453292
1551589860709,293.0,0.02421379,0.38753787,0.86590564,-0.12728882,-0.5636444,0.14239502,0.607669,-0.19644623,0.7396413,0.21231572,0.17453292
1551589860810,209.0,0.02421379,0.38753787,0.86590564,-0.12728882,-0.5636444,0.14239502,0.607669,-0.19644623,0.7396413,0.21231572,0.17453292
1551589860911,132.0,0.25873375,-0.039899543,1.5125852,-0.22698975,-0.95236206,-0.10122681,0.6626418,-0.21277316,0.687368,0.20774677,0.17453292
1551589861010,119.0,0.25873375,-0.039899543,1.5125852,-0.22698975,-0.95236206,-0.10122681,0.6626418,-0.21277316,0.687368,0.20774677,0.17453292
1551589861110,115.0,0.32787514,-0.9503716,0.78840125,-0.40148926,-0.6403961,-0.32972717,0.6988114,-0.22697252,0.6378951,0.23072909,0.17453292
1551589861210,120.0,0.32787514,-0.9503716,0.78840125,-0.40148926,-0.6403961,-0.32972717,0.6988114,-0.22697252,0.6378951,0.23072909,0.17453292
1551589861310,126.0,-0.43603802,-0.34868383,0.009911656,-0.5463562,-0.32305908,0.11262512,0.70289534,-0.27683342,0.6052955,0.25083616,0.17453292
1551589861410,135.0,-0.43603802,-0.34868383,0.009911656,-0.5463562,-0.32305908,0.11262512,0.70289534,-0.27683342,0.6052955,0.25083616,0.17453292
1551589861511,150.0,-1.304285,1.2265483,-1.0955098,-0.3550415,0.35775757,0.47810364,0.66241425,-0.3249058,0.6208476,0.26493752,0.17453292
1551589861610,182.0,-1.304285,1.2265483,-1.0955098,-0.3550415,0.35775757,0.47810364,0.66241425,-0.3249058,0.6208476,0.26493752,0.17453292
1551589861710,222.0,-0.8513813,2.0995507,-2.1679792,-0.22566223,0.6663666,0.62597656,0.60051656,-0.36569437,0.65615153,0.27406693,0.17453292
1551589861811,247.0,-0.8513813,2.0995507,-2.1679792,-0.22566223,0.6663666,0.62597656,0.60051656,-0.36569437,0.65615153,0.27406693,0.17453292
1551589861912,256.0,0.054974556,1.2477412,-1.9120625,-0.007171631,0.60691833,0.4602661,0.54948443,-0.37913966,0.6932961,0.27140462,0.17453292
1551589862013,253.0,0.054974556,1.2477412,-1.9120625,-0.007171631,0.60691833,0.4602661,0.54948443,-0.37913966,0.6932961,0.27140462,0.17453292
1551589862115,242.0,1.5326881,-0.1437347,-0.024073005,0.018600464,-0.20587158,-0.19390869,0.5732643,-0.3708279,0.67715144,0.2744461,0.17453292
1551589862215,208.0,1.5326881,-0.1437347,-0.024073005,0.018600464,-0.20587158,-0.19390869,0.5732643,-0.3708279,0.67715144,0.2744461,0.17453292
1551589862315,174.0,2.15061,-1.2657866,1.381696,-0.18475342,-0.7933197,-0.49272156,0.63452935,-0.3708766,0.6164961,0.2824104,0.17453292
1551589862416,154.0,2.15061,-1.2657866,1.381696,-0.18475342,-0.7933197,-0.49272156,0.63452935,-0.3708766,0.6164961,0.2824104,0.17453292
1551589862516,144.0,0.12491894,-1.637908,1.1374514,-0.5408783,-0.5418091,-0.47476196,0.6659612,-0.38454652,0.5543895,0.31823254,0.17453292
1551589862617,136.0,0.12491894,-1.637908,1.1374514,-0.5408783,-0.5418091,-0.47476196,0.6659612,-0.38454652,0.5543895,0.31823254,0.17453292
1551589862717,143.0,-0.43640327,-1.2146275,0.22329533,-0.8239136,-0.14541626,-0.13069153,0.65138084,-0.42216328,0.5118333,0.36811382,0.17453292
1551589862818,153.0,-0.43640327,-1.2146275,0.22329533,-0.8239136,-0.14541626,-0.13069153,0.65138084,-0.42216328,0.5118333,0.36811382,0.17453292
1551589862918,163.0,-1.4593964,0.8726568,-0.476956,-0.4774933,0.2230072,0.5093231,0.60243994,-0.46799463,0.5220034,0.38152272,0.17453292
1551589863019,189.0,-1.4593964,0.8726568,-0.476956,-0.4774933,0.2230072,0.5093231,0.60243994,-0.46799463,0.5220034,0.38152272,0.17453292
1551589863119,238.0,-1.2725687,2.3944378,-1.6968997,0.032287598,0.86099243,0.5500641,0.5360744,-0.46246925,0.5871572,0.39241928,0.17453292
1551589863220,297.0,-1.2725687,2.3944378,-1.6968997,0.032287598,0.86099243,0.5500641,0.5360744,-0.46246925,0.5871572,0.39241928,0.17453292
1551589863320,300.0,-0.15643597,1.9947743,-2.427576,0.0027313232,1.0760651,0.57489014,0.44931954,-0.44837615,0.6570339,0.40666598,0.17453292
1551589863420,299.0,-0.15643597,1.9947743,-2.427576,0.0027313232,1.0760651,0.57489014,0.44931954,-0.44837615,0.6570339,0.40666598,0.17453292
1551589863520,295.0,1.8055725,-0.38976407,0.52762544,0.25717163,-0.4336853,-0.32292175,0.50378966,-0.4306065,0.6371955,0.39339015,0.17453292
1551589863620,203.0,1.8055725,-0.38976407,0.52762544,0.25717163,-0.4336853,-0.32292175,0.50378966,-0.4306065,0.6371955,0.39339015,0.17453292
