Time,Heading,A_X,A_Y,A_Z,G_X,G_Y,G_Z,RV_X,RV_Y,RV_Z,RV_W,RV_C
1550905736889,118.0,0.0024237037,0.0015457273,0.0016002655,-3.2043457E-4,1.5258789E-4,2.1362305E-4,0.04262827,0.016932057,-0.24158508,0.96929497,0.2617994
1550905736989,118.0,0.0024237037,0.0015457273,0.0016002655,-3.2043457E-4,1.5258789E-4,2.1362305E-4,0.04262827,0.016932057,-0.24158508,0.96929497,0.2617994
1550905737089,119.0,0.0024237037,0.0015457273,0.0016002655,-3.2043457E-4,1.5258789E-4,2.1362305E-4,0.04262827,0.016932057,-0.24158508,0.96929497,0.2617994
1550905737190,118.0,-0.003513515,-0.003588438,-0.0013227463,2.593994E-4,-2.746582E-4,-1.0681152E-4,0.042597946,0.016983336,-0.24154243,0.96930605,0.2617994
1550905737290,118.0,-0.003513515,-0.003588438,-0.0013227463,2.593994E-4,-2.746582E-4,-1.0681152E-4,0.042597946,0.016983336,-0.24154243,0.96930605,0.2617994
1550905737391,118.0,-0.0013904572,-0.0014912486,0.002409935,-3.2043457E-4,-4.8828125E-4,-4.5776367E-5,0.04252177,0.016983865,-0.24158105,0.9692998,0.2617994
1550905737490,118.0,-0.0013904572,-0.0014912486,0.002409935,-3.2043457E-4,-4.8828125E-4,-4.5776367E-5,0.04252177,0.016983865,-0.24158105,0.9692998,0.2617994
1550905737590,117.0,-0.0046672225,0.0033049583,0.0015974045,1.5258789E-4,-3.3569336E-4,-4.7302246E-4,0.0426343,0.017042497,-0.24163753,0.9692797,0.2617994
1550905737691,117.0,-0.0046672225,0.0033049583,0.0015974045,1.5258789E-4,-3.3569336E-4,-4.7302246E-4,0.0426343,0.017042497,-0.24163753,0.9692797,0.2617994
1550905737791,117.0,0.0034162402,0.0018760562,-1.5544891E-4,0.0,7.324219E-4,1.6784668E-4,0.04267738,0.017019218,-0.24157177,0.9692946,0.2617994
1550905737891,117.0,0.0034162402,0.0018760562,-1.5544891E-4,0.0,7.324219E-4,1.6784668E-4,0.04267738,0.017019218,-0.24157177,0.9692946,0.2617994
1550905737991,117.0,4.6688318E-4,5.608797E-4,-7.4863434E-4,1.5258789E-4,-2.746582E-4,1.6784668E-4,0.04269717,0.016976923,-0.24148118,0.9693171,0.2617994
1550905738091,117.0,4.6688318E-4,5.608797E-4,-7.4863434E-4,1.5258789E-4,-2.746582E-4,1.6784668E-4,0.04269717,0.016976923,-0.24148118,0.9693171,0.2617994
1550905738193,117.0,-0.0028303266,-0.0018653274,0.002855301,4.7302246E-4,-5.493164E-4,3.2043457E-4,0.042696394,0.016987465,-0.24150172,0.9693118,0.2617994
1550905738293,116.0,-0.0028303266,-0.0018653274,0.002855301,4.7302246E-4,-5.493164E-4,3.2043457E-4,0.042696394,0.016987465,-0.24150172,0.9693118,0.2617994
1550905738394,116.0,-0.004810512,-0.0025100112,-6.5898895E-4,1.0681152E-4,-2.746582E-4,1.0681152E-4,0.042672757,0.017083777,-0.2416974,0.96926236,0.2617994
1550905738494,116.0,-0.004810512,-0.0025100112,-6.5898895E-4,1.0681152E-4,-2.746582E-4,1.0681152E-4,0.042672757,0.017083777,-0.2416974,0.96926236,0.2617994
1550905738594,116.0,0.0010386109,-7.212758E-4,-5.9223175E-4,1.0681152E-4,-1.5258789E-5,3.8146973E-4,0.04266052,0.01705768,-0.24165359,0.9692743,0.2617994
1550905738694,116.0,0.0010386109,-7.212758E-4,-5.9223175E-4,1.0681152E-4,-1.5258789E-5,3.8146973E-4,0.04266052,0.01705768,-0.24165359,0.9692743,0.2617994
1550905738794,116.0,-3.5893917E-4,0.0020118952,-0.0015172958,-1.0681152E-4,9.1552734E-5,5.340576E-4,0.042709026,0.017062869,-0.24163954,0.9692756,0.2617994
1550905738895,116.0,-3.5893917E-4,0.0020118952,-0.0015172958,-1.0681152E-4,9.1552734E-5,5.340576E-4,0.042709026,0.017062869,-0.24163954,0.9692756,0.2617994
1550905738994,116.0,0.0030212402,0.0025654435,-0.0011892319,-2.1362305E-4,-6.1035156E-5,1.6784668E-4,0.042731695,0.016978556,-0.24146727,0.969319,0.2617994
1550905739095,116.0,0.0030212402,0.0025654435,-0.0011892319,-2.1362305E-4,-6.1035156E-5,1.6784668E-4,0.042731695,0.016978556,-0.24146727,0.969319,0.2617994
1550905739194,116.0,-0.0024581552,-8.3225965E-4,6.1511993E-4,0.0,-3.8146973E-4,-1.5258789E-4,0.04271602,0.017005567,-0.24152662,0.96930444,0.2617994
1550905739295,116.0,-0.0024581552,-8.3225965E-4,6.1511993E-4,0.0,-3.8146973E-4,-1.5258789E-4,0.04271602,0.017005567,-0.24152662,0.96930444,0.2617994
1550905739396,116.0,-0.0028291345,-0.0011122823,-5.607605E-4,4.5776367E-5,-2.746582E-4,2.746582E-4,0.04270728,0.017048907,-0.24161373,0.9692823,0.2617994
1550905739496,116.0,-0.0028291345,-0.0011122823,-5.607605E-4,4.5776367E-5,-2.746582E-4,2.746582E-4,0.04270728,0.017048907,-0.24161373,0.9692823,0.2617994
1550905739597,116.0,-0.0021719337,0.0024451017,-0.0030879974,0.0,3.0517578E-5,1.0681152E-4,0.04278933,0.01709041,-0.24165249,0.9692683,0.2617994
1550905739697,116.0,-0.0021719337,0.0024451017,-0.0030879974,0.0,3.0517578E-5,1.0681152E-4,0.04278933,0.01709041,-0.24165249,0.9692683,0.2617994
1550905739797,116.0,0.0041815042,3.9488077E-4,-0.0011024475,3.2043457E-4,-4.4250488E-4,1.6784668E-4,0.042792156,0.016945424,-0.24137414,0.9693401,0.2617994
1550905739898,116.0,0.0041815042,3.9488077E-4,-0.0011024475,3.2043457E-4,-4.4250488E-4,1.6784668E-4,0.042792156,0.016945424,-0.24137414,0.9693401,0.2617994
1550905739997,116.0,0.0041815042,3.9488077E-4,-0.0011024475,3.2043457E-4,-4.4250488E-4,1.6784668E-4,0.042792156,0.016945424,-0.24137414,0.9693401,0.2617994
1550905740097,116.0,0.0041815042,3.9488077E-4,-0.0011024475,3.2043457E-4,-4.4250488E-4,1.6784668E-4,0.042792156,0.016945424,-0.24137414,0.9693401,0.2617994
1550905740198,116.0,0.0041815042,3.9488077E-4,-0.0011024475,3.2043457E-4,-4.4250488E-4,1.6784668E-4,0.042792156,0.016945424,-0.24137414,0.9693401,0.2617994
1550905740298,116.0,0.0041815042,3.9488077E-4,-0.0011024475,3.2043457E-4,-4.4250488E-4,1.6784668E-4,0.042792156,0.016945424,-0.24137414,0.9693401,0.2617994
